Restaurant,Country,Menu Item,URL,Calories,Total Fat (g),Total Carbs (g),Protein (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Dietary Fiber (g),Sugars (g),Vitamin A (μg),Vitamin C (μg),Calcium (mg),Iron (mg),Added Sugars (g),Vitamin D (μg),Potassium (mg),Polyunsaturated Fat (g),Monounsaturated Fat (g)
McDonald's,South Africa,Boerie & Hash Brown Stack,https://www.mcdonalds.co.za/menu/boerie-hashbrown-stack,446,24.7,40.5,13.6,9.6,0,43,795,3.8,6.5,20.3,0,6.1,0.6,,,,,
McDonald's,South Africa,Cajun Chicken,https://www.mcdonalds.co.za/menu/cajun-chicken,460,19.2,45.4,23,6.4,0.2,22.8,1127,5.2,8.4,36.1,0,84.5,0,,,,,
McDonald's,South Africa,Medium Fries,https://www.mcdonalds.co.za/menu/medium-fries,669,32.6,80,10.1,15.2,0,11,440,7.3,2.4,,,,,,,,,
McDonald's,South Africa,Veggie Sandwich,https://www.mcdonalds.co.za/menu/veggie,369,12.4,37.7,9.7,5.9,0,7.3,750,5.9,9.9,1,4.2,10.9,1.8,,,,,
McDonald's,USA,Quarter Pounder with Cheese,https://www.mcdonalds.com/us/en-us/product/quarter-pounder-with-cheese.html,520,26,42,30,12,1.5,95,1140,2,10,,,190,4,8,0,420,,
McDonald's,USA,McCrispy,https://www.mcdonalds.com/us/en-us/product/mccrispy-chicken-sandwich.html#accordion-c921f9207b-item-842cb18782,470,20,46,26,5,0,70,1140,1,9,,,30,2,7,0,420,,
McDonald's,USA,Medium Fries,https://www.mcdonalds.com/us/en-us/product/medium-french-fries.html#accordion-c921f9207b-item-842cb18782,320,15,43,5,2,0,0,260,4,0,,,15,1,0,0,650,,
McDonald's,USA,McPlant,https://www.mcdonalds.com/us/en-us/product/mcplant.html#accordion-c921f9207b-item-842cb18782,510,27,46,22,8,0,25,1060,3,11,,,160,5,8,0,430,,
McDonald's,India,McAloo Tikki Burger,https://mcdindia.com/#menu,339.52,11.31,50.27,8.5,4.27,0.2,1.47,545.34,,7.05,,,,,4.07,,,,
McDonald's,India,McSpicy Chicken,https://mcdindia.com/,451.92,19.36,46.08,21.46,7.63,0.18,66.04,928.52,,5.88,,,,,4.49,,,,
McDonald's,India,Our World Famous Fries,https://mcdindia.com/,317.92,14.7,38.34,4.79,7.04,0.11,1.09,216.79,,0.55,,,,,0,,,,
McDonald's,India,Veg Surprise Burger,https://mcdindia.com/,313.44,14.95,39.84,5.71,3.73,0.14,0,504.19,,5.66,,,,,1.64,,,,
McDonald's,Mexico,Signature Crispy Onion Barbecue,https://www.mcdonalds.com.mx/menu/hamburguesas/signature-crispy-onion-barbecue,692,35,61,35,,,,1108,,,,,,,,,,,
McDonald's,Mexico,McCrispy Spicy,https://www.mcdonalds.com.mx/menu/pollo/mccrispy-spicy,631,33,51,29,0,0,0,1280,0,,,,,,,,,,,
McDonald's,Mexico,Medium Fries,https://www.mcdonalds.com.mx/menu/para-acompanar/papas-medianas,281.52,14.72,38.36,296.2,1.84,0,0,235.52,3.68,3.21,,,,,13,,,,
McDonald's,Mexico,McMolletes,https://www.mcdonalds.com.mx/menu/desayunos/mcmolletes,410,11,77,25,6.75,0,,4480,8.16,,,,,,,,,,
